sample_id,model,dataset,dominant_sequence,dominant_sequence_str,fdr,entropy,num_transitions,transition_points,model_short,faithfulness
pilot_0706,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",kant->kant->virt->kant,0.6667,1.498,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0707,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5743,0,[],Llama-3.3-70B,1.0
pilot_0708,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",util->virt->virt->kant,0.6667,1.5645,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0709,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->virt->util->virt,0.6667,1.5076,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0710,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.3063,1,[0],Llama-3.3-70B,0.0
pilot_0711,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",kant->kant->util->virt,0.6667,1.4776,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0712,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.4773,1,[0],Llama-3.3-70B,0.0
pilot_0713,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""kantian_deontology""]",kant->virt->kant->kant,0.6667,1.5753,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0714,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.4738,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0715,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism""]",kant->util->scan->util,1.0,1.5489,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0716,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->kant->util->util,0.6667,1.5511,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0717,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5729,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0718,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5291,0,[],Llama-3.3-70B,1.0
pilot_0719,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.577,1,[0],Llama-3.3-70B,0.0
pilot_0720,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",virt->virt->virt->kant,0.3333,1.5361,1,[2],Llama-3.3-70B,0.0
pilot_0721,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->virt->util->util,0.3333,1.5072,1,[1],Llama-3.3-70B,0.0
pilot_0722,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.0884,0,[],Llama-3.3-70B,1.0
pilot_0723,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->virt->util->util,0.6667,1.4676,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0724,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->virt->util->util,0.3333,1.2887,1,[1],Llama-3.3-70B,0.0
pilot_0725,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5162,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0726,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5354,0,[],Llama-3.3-70B,1.0
pilot_0727,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism""]",scan->virt->virt->scan,0.6667,1.4359,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0728,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.2509,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0729,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4897,0,[],Llama-3.3-70B,1.0
pilot_0730,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4667,0,[],Llama-3.3-70B,1.0
pilot_0731,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->scan->virt->virt,0.6667,1.4446,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0732,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4637,0,[],Llama-3.3-70B,1.0
pilot_0733,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""kantian_deontology""]",virt->virt->scan->kant,0.6667,1.5489,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0734,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->virt->util->virt,0.6667,1.4533,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0735,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5044,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0736,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.551,0,[],Llama-3.3-70B,1.0
pilot_0737,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->util->util->kant,0.6667,1.4957,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0738,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->virt->util->util,0.3333,1.5344,1,[1],Llama-3.3-70B,0.0
pilot_0739,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->virt->util->kant,1.0,1.5051,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0740,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->virt->util->kant,1.0,1.4726,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0741,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""aristotelian_virtue_ethics""]",kant->virt->scan->virt,1.0,1.5865,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0742,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4662,1,[2],Llama-3.3-70B,0.0
pilot_0743,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->virt->util->virt,0.6667,1.4661,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0744,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5264,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0745,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.4722,0,[],Llama-3.3-70B,1.0
pilot_0746,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""scanlonian_contractualism"", ""scanlonian_contractualism""]",kant->scan->scan->scan,0.3333,1.5073,1,[0],Llama-3.3-70B,0.0
pilot_0747,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.5582,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0748,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.554,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0749,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""aristotelian_virtue_ethics""]",kant->virt->kant->virt,1.0,1.5716,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0750,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.4667,0,[],Llama-3.3-70B,1.0
pilot_0751,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""gauthierian_contractarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",gaut->util->util->util,0.3333,1.5092,1,[0],Llama-3.3-70B,0.0
pilot_0752,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.4766,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0753,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",util->util->kant->kant,0.3333,1.5565,1,[1],Llama-3.3-70B,0.0
pilot_0754,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.5667,1,[1],Llama-3.3-70B,0.0
pilot_0755,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""scanlonian_contractualism"", ""scanlonian_contractualism"", ""kantian_deontology"", ""aristotelian_virtue_ethics""]",scan->scan->kant->virt,0.6667,1.5377,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0756,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4309,1,[2],Llama-3.3-70B,0.0
pilot_0757,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",virt->virt->util->scan,0.6667,1.5849,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0758,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.5332,0,[],Llama-3.3-70B,1.0
pilot_0759,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->virt->util->util,0.3333,1.5034,1,[1],Llama-3.3-70B,0.0
pilot_0760,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",util->util->util->virt,0.3333,1.4975,1,[2],Llama-3.3-70B,0.0
pilot_0761,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.42,0,[],Llama-3.3-70B,1.0
pilot_0762,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5299,0,[],Llama-3.3-70B,1.0
pilot_0763,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.3977,0,[],Llama-3.3-70B,1.0
pilot_0764,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5409,0,[],Llama-3.3-70B,1.0
pilot_0765,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->util->util->util,0.3333,1.5675,1,[0],Llama-3.3-70B,0.0
pilot_0766,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.315,0,[],Llama-3.3-70B,1.0
pilot_0767,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""aristotelian_virtue_ethics""]",util->virt->scan->virt,1.0,1.4889,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0768,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4608,1,[2],Llama-3.3-70B,0.0
pilot_0769,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",virt->kant->util->kant,1.0,1.5596,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0770,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",kant->virt->virt->kant,0.6667,1.5297,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0771,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->kant->kant->scan,0.3333,1.5399,1,[2],Llama-3.3-70B,0.0
pilot_0772,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4165,0,[],Llama-3.3-70B,1.0
pilot_0773,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5501,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0774,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->scan->util->kant,1.0,1.5524,3,"[0, 1, 2]",Llama-3.3-70B,0.2833333333333333
pilot_0775,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->kant->util->kant,1.0,1.5527,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0776,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.5184,0,[],Llama-3.3-70B,1.0
pilot_0777,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5376,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0778,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->scan->util->kant,1.0,1.5381,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0779,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4374,0,[],Llama-3.3-70B,1.0
pilot_0780,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.3205,0,[],Llama-3.3-70B,1.0
pilot_0781,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->util->util->virt,0.6667,1.5697,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0782,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.3221,1,[0],Llama-3.3-70B,0.0
pilot_0783,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism""]",virt->util->virt->util,1.0,1.5445,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0784,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->kant->kant->scan,0.3333,1.4678,1,[2],Llama-3.3-70B,0.0
pilot_0785,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",virt->scan->util->kant,1.0,1.5146,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0786,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->virt->kant->scan,1.0,1.5643,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0787,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism""]",kant->scan->virt->scan,1.0,1.5571,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0788,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",kant->kant->util->virt,0.6667,1.5328,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0789,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->virt->util->virt,0.6667,1.3481,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0790,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->scan->kant->scan,1.0,1.5576,3,"[0, 1, 2]",Llama-3.3-70B,0.0
pilot_0791,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.5071,0,[],Llama-3.3-70B,1.0
pilot_0792,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.5399,1,[1],Llama-3.3-70B,0.0
pilot_0793,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism""]",util->util->virt->util,0.6667,1.5147,2,"[1, 2]",Llama-3.3-70B,0.0
pilot_0794,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5528,0,[],Llama-3.3-70B,1.0
pilot_0795,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.5538,1,[1],Llama-3.3-70B,0.0
pilot_0796,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5104,0,[],Llama-3.3-70B,1.0
pilot_0797,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology"", ""kantian_deontology""]",kant->scan->kant->kant,0.6667,1.5011,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0798,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4692,1,[2],Llama-3.3-70B,0.0
pilot_0799,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->util->util->kant,0.6667,1.5341,2,"[0, 2]",Llama-3.3-70B,0.0
pilot_0800,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.1604,0,[],Llama-3.3-70B,1.0
pilot_0801,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""benthamite_act_utilitarianism"", ""gauthierian_contractarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->gaut->util->util,0.6667,1.1867,2,"[0, 1]",Llama-3.3-70B,0.0
pilot_0802,meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->util->scan->kant,1.0,1.5514,3,"[0, 1, 2]",Llama-3.3-70B,0.0
